,Planner,ProblemDim,Actions,Time
0,ff,2,6.0,0.008196989695231032
1,ff,3,10.0,0.0114674568176269
2,ff,4,14.0,0.012535810470581034
3,ff,5,18.0,0.0180562337239583
4,ff,6,20.0,0.021712144215901633
5,ff,7,22.0,0.038486162821451765
6,ff,8,28.0,0.026710510253906233
7,ff,9,32.0,0.018742561340332
8,ff,10,39.0,0.036560058593749965
9,ff,11,36.0,0.03505110740661616
10,ff,12,42.0,0.090258518854777
11,ff,13,46.0,0.11518343289693189
12,ff,14,50.0,0.20309090614318845
13,ff,15,56.0,0.5455010732014974
14,ff,16,56.0,0.49345556894938153
15,ff,17,60.0,0.4428219000498454
16,ff,18,63.0,0.5789562861124674
17,ff,19,66.0,1.0063331921895344
18,ff,20,68.0,0.8494416872660319
19,ff,21,74.0,1.2123883565266926
20,ff,22,76.0,1.55242125193278
21,ff,23,84.0,1.7394951184590657
22,ff,24,83.0,1.9886644681294758
23,ff,25,89.0,2.605490207672119
24,ff,26,90.0,3.3570103645324707
25,ff,27,96.0,3.544952630996704
26,ff,28,107.0,4.4225592613220215
27,ff,29,96.0,28.35618034998576
28,ff,30,110.0,15.861933390299479
29,ff,31,106.0,10.283894618352255
30,ff,32,118.0,14.882474581400553
31,ff,33,118.0,17.355537335077923
32,ff,34,123.0,18.80308175086975
33,ff,35,116.0,27.175815502802532
34,ff,36,128.0,29.63915451367696
35,ff,37,128.0,38.372360388437905
36,ff,38,138.0,33.06196093559265
37,ff,39,138.0,31.83393120765686
38,ff,40,142.0,46.12558674812317
39,ff,41,144.0,50.419394731521606
40,ff,42,146.0,66.21505014101665
41,lpg-td,2,8.0,0.13569108645121256
42,lpg-td,3,11.0,0.1499254703521728
43,lpg-td,4,15.0,0.26959983507792157
44,lpg-td,5,19.0,0.29367176691691077
45,lpg-td,6,22.0,0.2677270571390788
46,lpg-td,7,27.0,0.2544910113016764
47,lpg-td,8,34.0,0.26061733563741046
48,lpg-td,9,34.0,0.24748468399047843
