Planner,ProblemDim,Time,Actions
lpg-td,2,0.152024507522583,8.0
lpg-td,2,0.1776111125946045,8.0
lpg-td,2,0.0774376392364502,8.0
lpg-td,3,0.07428622245788574,11.0
lpg-td,3,0.12261438369750977,11.0
lpg-td,3,0.25287580490112305,11.0
lpg-td,4,0.27721667289733887,15.0
lpg-td,4,0.2541189193725586,15.0
lpg-td,4,0.2774639129638672,15.0
lpg-td,5,0.29175615310668945,19.0
lpg-td,5,0.2960991859436035,19.0
lpg-td,5,0.29315996170043945,19.0
lpg-td,6,0.283358097076416,22.0
lpg-td,6,0.26645493507385254,22.0
lpg-td,6,0.2533681392669678,22.0
lpg-td,7,0.2736928462982178,27.0
lpg-td,7,0.24444317817687988,27.0
lpg-td,7,0.24533700942993164,27.0
lpg-td,8,0.29158926010131836,34.0
lpg-td,8,0.24268841743469238,34.0
lpg-td,8,0.2475743293762207,34.0
lpg-td,9,0.2679126262664795,34.0
lpg-td,9,0.23676753044128418,34.0
lpg-td,9,0.23777389526367188,34.0
lpg-td,10,0.2605903148651123,41.0
lpg-td,10,0.2508871555328369,41.0
lpg-td,10,0.23460984230041504,41.0
lpg-td,11,0.2683830261230469,43.0
lpg-td,11,0.19411373138427734,43.0
lpg-td,11,0.10148358345031738,43.0
lpg-td,12,0.10450887680053711,49.0
lpg-td,12,0.2038102149963379,49.0
lpg-td,12,0.237701416015625,49.0
lpg-td,13,0.19941329956054688,52.0
lpg-td,13,0.10407829284667969,52.0
lpg-td,13,0.20227289199829102,52.0
lpg-td,14,0.26989269256591797,58.0
lpg-td,14,0.24632692337036133,58.0
lpg-td,14,0.19645452499389648,58.0
lpg-td,15,0.19698214530944824,58.0
lpg-td,15,0.25472402572631836,58.0
lpg-td,15,0.25426340103149414,58.0
lpg-td,16,0.29442596435546875,62.0
lpg-td,16,0.26142096519470215,62.0
lpg-td,16,0.2605166435241699,62.0
lpg-td,17,0.28815436363220215,74.0
lpg-td,17,0.2664339542388916,74.0
lpg-td,17,0.2716808319091797,74.0
lpg-td,18,0.2756950855255127,69.0
lpg-td,18,0.24546098709106445,69.0
lpg-td,18,0.27132153511047363,69.0
lpg-td,19,0.29819488525390625,74.0
lpg-td,19,0.2750542163848877,74.0
lpg-td,19,0.20753788948059082,74.0
lpg-td,20,0.1946277618408203,80.0
lpg-td,20,0.27347373962402344,80.0
lpg-td,20,0.2779512405395508,80.0
lpg-td,21,0.29964661598205566,85.0
lpg-td,21,0.1728370189666748,85.0
lpg-td,21,0.1620044708251953,85.0
lpg-td,22,0.262282133102417,90.0
lpg-td,22,0.2955451011657715,90.0
lpg-td,22,0.29149532318115234,90.0
lpg-td,23,0.310884952545166,95.0
lpg-td,23,0.2868313789367676,95.0
lpg-td,23,0.30605483055114746,95.0
lpg-td,24,0.30292415618896484,94.0
lpg-td,24,0.2886655330657959,94.0
lpg-td,24,0.2938239574432373,94.0
lpg-td,25,0.3172473907470703,105.0
lpg-td,25,0.2909250259399414,105.0
lpg-td,25,0.30838990211486816,105.0
lpg-td,26,0.2962067127227783,98.0
lpg-td,26,0.31801795959472656,98.0
lpg-td,26,0.2996175289154053,98.0
lpg-td,27,0.32390737533569336,105.0
lpg-td,27,0.3134176731109619,105.0
lpg-td,27,0.31333065032958984,105.0
lpg-td,28,0.31833791732788086,114.0
lpg-td,28,0.31386780738830566,114.0
lpg-td,28,0.3211781978607178,114.0
lpg-td,29,0.3324620723724365,109.0
lpg-td,29,0.32166337966918945,109.0
lpg-td,29,0.29187917709350586,109.0
lpg-td,30,0.2615654468536377,118.0
lpg-td,30,0.34659457206726074,118.0
lpg-td,30,0.30599355697631836,118.0
lpg-td,31,0.36167144775390625,123.0
lpg-td,31,0.30309391021728516,123.0
lpg-td,31,0.3608696460723877,123.0
lpg-td,32,0.35785579681396484,122.0
lpg-td,32,0.3369419574737549,122.0
lpg-td,32,0.31968140602111816,122.0
lpg-td,33,0.3663771152496338,132.0
lpg-td,33,0.33702874183654785,132.0
lpg-td,33,0.35432982444763184,132.0
lpg-td,34,0.3270072937011719,130.0
lpg-td,34,0.18439269065856934,130.0
lpg-td,34,0.34305286407470703,130.0
lpg-td,35,0.3437347412109375,138.0
lpg-td,35,0.19764494895935059,138.0
lpg-td,35,0.36803436279296875,138.0
lpg-td,36,0.228410005569458,140.0
lpg-td,36,0.38251495361328125,140.0
lpg-td,36,0.3584411144256592,140.0
lpg-td,37,0.3699359893798828,144.0
lpg-td,37,0.4201514720916748,144.0
lpg-td,37,0.3776888847351074,144.0
lpg-td,38,0.37889766693115234,144.0
lpg-td,38,0.39034223556518555,144.0
lpg-td,38,0.3880655765533447,144.0
lpg-td,39,0.3959076404571533,156.0
lpg-td,39,0.4071035385131836,156.0
lpg-td,39,0.40360403060913086,156.0
lpg-td,40,0.39838743209838867,164.0
lpg-td,40,0.4170820713043213,164.0
lpg-td,40,0.4131913185119629,164.0
lpg-td,41,0.4267568588256836,166.0
lpg-td,41,0.4645533561706543,166.0
lpg-td,41,0.2912106513977051,166.0
lpg-td,42,0.4476492404937744,166.0
lpg-td,42,0.44764065742492676,166.0
lpg-td,42,0.46372342109680176,166.0
lpg-td,43,0.31749725341796875,166.0
lpg-td,43,0.4739232063293457,166.0
lpg-td,43,0.4494006633758545,166.0
lpg-td,44,0.4650909900665283,173.0
lpg-td,44,0.5103802680969238,173.0
lpg-td,44,0.5031006336212158,173.0
lpg-td,45,0.46318745613098145,180.0
lpg-td,45,0.5060904026031494,180.0
lpg-td,45,0.5283629894256592,180.0
lpg-td,46,0.541100025177002,189.0
lpg-td,46,0.5368046760559082,189.0
lpg-td,46,0.5586516857147217,189.0
lpg-td,47,0.4242265224456787,186.0
lpg-td,47,0.5806152820587158,186.0
lpg-td,47,0.5746057033538818,186.0
lpg-td,48,0.42291736602783203,196.0
lpg-td,48,0.5778911113739014,196.0
lpg-td,48,0.5806071758270264,196.0
lpg-td,49,0.607433557510376,195.0
lpg-td,49,0.6079487800598145,195.0
lpg-td,49,0.5797383785247803,195.0
lpg-td,50,0.7448868751525879,197.0
lpg-td,50,0.736386775970459,197.0
lpg-td,50,0.7085528373718262,197.0
lpg-td,51,0.6935529708862305,210.0
lpg-td,51,0.6990420818328857,210.0
lpg-td,51,0.6918346881866455,210.0
lpg-td,52,0.7590456008911133,206.0
lpg-td,52,0.7371535301208496,206.0
lpg-td,52,0.7334167957305908,206.0
lpg-td,53,0.7813060283660889,215.0
lpg-td,53,0.7692747116088867,215.0
lpg-td,53,0.6114814281463623,215.0
lpg-td,54,0.8669252395629883,217.0
lpg-td,54,0.8811483383178711,217.0
lpg-td,54,0.8769733905792236,217.0
lpg-td,55,0.7989091873168945,225.0
lpg-td,55,0.8109462261199951,225.0
lpg-td,55,0.8133535385131836,225.0
lpg-td,56,1.0593008995056152,220.0
lpg-td,56,1.0346195697784424,220.0
lpg-td,56,1.034639596939087,220.0
lpg-td,57,1.1549596786499023,227.0
lpg-td,57,1.1378552913665771,227.0
lpg-td,57,1.1836583614349365,227.0
lpg-td,58,1.2399673461914062,233.0
lpg-td,58,1.0922966003417969,233.0
lpg-td,58,1.2664854526519775,233.0
lpg-td,59,1.2066233158111572,228.0
lpg-td,59,1.2115890979766846,228.0
lpg-td,59,1.225799798965454,228.0
lpg-td,60,1.2006008625030518,236.0
lpg-td,60,1.3830933570861816,236.0
lpg-td,60,1.3542797565460205,236.0
lpg-td,61,1.4125685691833496,239.0
lpg-td,61,1.3766496181488037,239.0
lpg-td,61,1.2671937942504883,239.0
lpg-td,62,1.4929571151733398,239.0
lpg-td,62,1.5042285919189453,239.0
lpg-td,62,1.5001158714294434,239.0
lpg-td,63,1.5831704139709473,246.0
lpg-td,63,1.5597479343414307,246.0
lpg-td,63,1.5715129375457764,246.0
lpg-td,64,1.5489182472229004,251.0
lpg-td,64,1.578368902206421,251.0
lpg-td,64,1.5610074996948242,251.0
lpg-td,65,1.705580472946167,264.0
lpg-td,65,1.6663401126861572,264.0
lpg-td,65,1.6365087032318115,264.0
lpg-td,66,1.718036413192749,256.0
lpg-td,66,1.6560521125793457,256.0
lpg-td,66,1.5073051452636719,256.0
lpg-td,67,1.685983657836914,270.0
lpg-td,67,1.6345546245574951,270.0
lpg-td,67,1.6064345836639404,270.0
lpg-td,68,2.001295566558838,265.0
lpg-td,68,1.953742265701294,265.0
lpg-td,68,1.9463305473327637,265.0
lpg-td,69,2.0561089515686035,279.0
lpg-td,69,2.0403449535369873,279.0
lpg-td,69,2.0712502002716064,279.0
lpg-td,70,1.8106672763824463,279.0
lpg-td,70,1.8865282535552979,279.0
lpg-td,70,1.8940870761871338,279.0
lpg-td,71,2.112964391708374,282.0
lpg-td,71,2.133226156234741,282.0
lpg-td,71,2.100996255874634,282.0
lpg-td,72,2.378262996673584,286.0
lpg-td,72,2.3600716590881348,286.0
lpg-td,72,2.3757431507110596,286.0
lpg-td,73,2.3722262382507324,290.0
lpg-td,73,2.3169775009155273,290.0
lpg-td,73,2.196425437927246,290.0
lpg-td,74,2.270113229751587,291.0
lpg-td,74,2.2999954223632812,291.0
lpg-td,74,2.262749671936035,291.0
lpg-td,75,2.785149574279785,296.0
lpg-td,75,2.7065794467926025,296.0
lpg-td,75,2.786565065383911,296.0
lpg-td,76,2.7754552364349365,306.0
lpg-td,76,2.791351318359375,306.0
lpg-td,76,2.753709077835083,306.0
lpg-td,77,2.7348761558532715,314.0
lpg-td,77,2.7149059772491455,314.0
lpg-td,77,2.714540719985962,314.0
lpg-td,78,2.7836499214172363,319.0
lpg-td,78,2.7582881450653076,319.0
lpg-td,78,2.8106038570404053,319.0
lpg-td,79,3.3072669506073,316.0
lpg-td,79,3.3147222995758057,316.0
lpg-td,79,3.2958264350891113,316.0
