,Planner,ProblemDim,Actions,Time,Cost
0,downward.sif --alias lama,2,8,0.00383571,276.0
1,downward.sif --alias lama,3,12,0.00851096,870.0
2,downward.sif --alias lama,4,16,0.0098078,1400.0
3,downward.sif --alias lama,5,20,0.0117899,1918.0
4,downward.sif --alias lama,6,24,0.0142107,1642.0
5,downward.sif --alias lama,7,28,0.0141908,2060.0
6,downward.sif --alias lama,8,32,0.0194022,2242.0
7,downward.sif --alias lama,9,36,0.0236813,2748.0
8,downward.sif --alias lama,10,40,0.0365056,3274.0
9,downward.sif --alias lama,11,44,0.0357982,2612.0
10,downward.sif --alias lama,12,48,0.0609496,3848.0
11,downward.sif --alias lama,13,52,0.0544072,3520.0
12,downward.sif --alias lama,14,56,0.0636608,3990.0
13,downward.sif --alias lama,15,60,0.083713,5346.0
14,downward.sif --alias lama,16,64,0.0930755,5530.0
15,downward.sif --alias lama,17,68,0.100686,5070.0
16,downward.sif --alias lama,18,72,0.118696,5260.0
17,downward.sif --alias lama,19,76,0.13411,5582.0
18,downward.sif --alias lama,20,80,0.161074,6592.0
19,downward.sif --alias lama,21,84,0.177388,7030.0
20,downward.sif --alias lama,22,88,0.205801,7110.0
21,downward.sif --alias lama,23,92,0.239116,7552.0
22,downward.sif --alias lama,24,96,0.260667,7622.0
23,downward.sif --alias lama,25,100,0.299226,8080.0
24,downward.sif --alias lama,26,104,0.346597,8084.0
25,downward.sif --alias lama,27,108,0.384926,9188.0
26,downward.sif --alias lama,28,112,0.411827,8314.0
27,downward.sif --alias lama,29,116,0.417773,10098.0
28,downward.sif --alias lama,30,120,0.450782,10620.0
29,downward.sif --alias lama,31,124,0.547872,10638.0
30,downward.sif --alias lama,32,128,0.61279,10096.0
31,downward.sif --alias lama,33,132,0.68529,10982.0
32,downward.sif --alias lama,34,136,0.729384,11750.0
33,downward.sif --alias lama,35,140,0.783391,11410.0
34,downward.sif --alias lama,36,144,0.919444,10914.0
35,downward.sif --alias lama,37,148,0.976601,12492.0
36,downward.sif --alias lama,38,152,1.01172,13024.0
37,downward.sif --alias lama,39,156,1.12725,13156.0
38,downward.sif --alias lama,40,160,1.16301,13170.0
39,downward.sif --alias lama,41,164,1.31953,14394.0
40,downward.sif --alias lama,42,168,1.40934,13686.0
41,downward.sif --alias lama,43,172,1.40336,14202.0
42,downward.sif --alias lama,44,176,1.63578,15260.0
43,downward.sif --alias lama,45,180,1.83578,14888.0
44,downward.sif --alias lama,46,184,1.90377,15638.0
45,downward.sif --alias lama,47,188,2.06285,15778.0
46,downward.sif --alias lama,48,192,2.22632,16568.0
47,downward.sif --alias lama,49,196,2.26471,16138.0
48,downward.sif --alias lama,50,200,2.47171,16810.0
49,downward.sif --alias lama,51,204,2.74908,16594.0
50,downward.sif --alias lama,52,208,2.9577,16302.0
51,downward.sif --alias lama,53,212,3.10297,16542.0
52,downward.sif --alias lama,54,216,3.21949,17278.0
53,downward.sif --alias lama,55,220,3.35845,14844.0
54,downward.sif --alias lama,56,224,3.35538,17770.0
55,downward.sif --alias lama,57,228,3.60052,18528.0
56,downward.sif --alias lama,58,232,3.72661,18184.0
57,downward.sif --alias lama,59,236,3.9476,18794.0
58,downward.sif --alias lama,60,240,4.75464,17964.0
59,downward.sif --alias lama,61,244,5.29192,18436.0
60,downward.sif --alias lama,62,248,5.74649,18326.0
61,downward.sif --alias lama,63,252,6.08361,19514.0
62,downward.sif --alias lama,64,256,6.55304,21918.0
63,downward.sif --alias lama,65,260,6.31144,21884.0
64,downward.sif --alias lama,66,264,6.59603,18784.0
65,downward.sif --alias lama,67,268,6.96072,19692.0
66,downward.sif --alias lama,68,272,7.3123,19762.0
67,downward.sif --alias lama,69,276,8.15064,21988.0
68,downward.sif --alias lama,70,280,8.36926,23446.0
69,downward.sif --alias lama,71,284,9.09203,21240.0
70,downward.sif --alias lama,72,288,9.52389,22928.0
71,downward.sif --alias lama,73,292,10.0753,23652.0
72,downward.sif --alias lama,74,296,10.9204,23974.0
73,downward.sif --alias lama,75,300,10.8777,21136.0
74,downward.sif --alias lama,76,304,11.9893,22666.0
75,downward.sif --alias lama,77,308,12.4658,22988.0
76,downward.sif --alias lama,78,312,12.4453,23014.0
77,downward.sif --alias lama,79,316,13.0657,22132.0
78,downward.sif --alias lama,80,320,14.2335,24142.0
79,downward.sif --alias lama,81,324,14.9849,24270.0
80,downward.sif --alias lama,82,328,15.95,24558.0
81,downward.sif --alias lama,83,332,16.1355,24528.0
82,downward.sif --alias lama,84,336,15.8617,24000.0
83,downward.sif --alias lama,85,340,17.8189,25532.0
84,downward.sif --alias lama,86,344,19.0221,25476.0
85,downward.sif --alias lama,87,348,20.0615,25656.0
86,downward.sif --alias lama,88,352,23.7715,26482.0
87,downward.sif --alias lama,89,356,24.8494,26904.0
88,downward.sif --alias lama,90,360,25.5164,27100.0
89,downward.sif --alias lama,91,364,23.3519,27868.0
90,downward.sif --alias lama,92,368,25.5646,30040.0
91,downward.sif --alias lama,93,372,25.9599,28618.0
92,downward.sif --alias lama,94,376,29.7299,27210.0
93,downward.sif --alias lama,95,380,26.7077,26054.0
94,downward.sif --alias lama,96,384,28.8967,27328.0
95,downward.sif --alias lama,97,388,32.5388,27730.0
96,downward.sif --alias lama,98,392,35.0342,26500.0
97,downward.sif --alias lama,99,396,34.4352,31692.0
98,downward.sif --alias lama,100,400,36.5869,30188.0
99,downward.sif --alias lama,101,404,42.6661,30834.0
100,downward.sif --alias lama,102,408,42.054,30904.0
101,downward.sif --alias lama,103,412,38.8702,30276.0
102,downward.sif --alias lama,104,416,39.1315,32276.0
103,downward.sif --alias lama,105,420,39.5808,32768.0
104,downward.sif --alias lama,106,424,48.9631,32584.0
105,downward.sif --alias lama,107,428,51.2444,33246.0
106,downward.sif --alias lama,108,432,55.1558,32724.0
107,downward.sif --alias lama,109,436,52.5449,33128.0
108,downward.sif --alias lama,110,440,43.5545,34310.0
109,downward.sif --alias lama,111,444,43.5934,34728.0
110,downward.sif --alias lama,112,448,51.4848,34648.0
111,downward.sif --alias lama,113,452,53.7885,34456.0
112,downward.sif --alias seq-opt-bjolp,2,10,0.00504011,144.0
113,downward.sif --alias seq-opt-bjolp,3,15,0.00925151,396.0
114,downward.sif --alias seq-opt-bjolp,4,20,0.0629177,508.0
115,downward.sif --alias seq-opt-bjolp,5,23,1.1085,731.0
116,downward.sif --alias seq-opt-bjolp,6,30,6.64624,581.0
