Planner,ProblemDim,Time,Actions,Cost
downward.sif --alias lama,2,0.00383571,8,276.0
downward.sif --alias lama,3,0.00851096,12,870.0
downward.sif --alias lama,4,0.0098078,16,1400.0
downward.sif --alias lama,5,0.0117899,20,1918.0
downward.sif --alias lama,6,0.0142107,24,1642.0
downward.sif --alias lama,7,0.0141908,28,2060.0
downward.sif --alias lama,8,0.0194022,32,2242.0
downward.sif --alias lama,9,0.0236813,36,2748.0
downward.sif --alias lama,10,0.0365056,40,3274.0
downward.sif --alias lama,11,0.0357982,44,2612.0
downward.sif --alias lama,12,0.0609496,48,3848.0
downward.sif --alias lama,13,0.0544072,52,3520.0
downward.sif --alias lama,14,0.0636608,56,3990.0
downward.sif --alias lama,15,0.083713,60,5346.0
downward.sif --alias lama,16,0.0930755,64,5530.0
downward.sif --alias lama,17,0.100686,68,5070.0
downward.sif --alias lama,18,0.118696,72,5260.0
downward.sif --alias lama,19,0.13411,76,5582.0
downward.sif --alias lama,20,0.161074,80,6592.0
downward.sif --alias lama,21,0.177388,84,7030.0
downward.sif --alias lama,22,0.205801,88,7110.0
downward.sif --alias lama,23,0.239116,92,7552.0
downward.sif --alias lama,24,0.260667,96,7622.0
downward.sif --alias lama,25,0.299226,100,8080.0
downward.sif --alias lama,26,0.346597,104,8084.0
downward.sif --alias lama,27,0.384926,108,9188.0
downward.sif --alias lama,28,0.411827,112,8314.0
downward.sif --alias lama,29,0.417773,116,10098.0
downward.sif --alias lama,30,0.450782,120,10620.0
downward.sif --alias lama,31,0.547872,124,10638.0
downward.sif --alias lama,32,0.61279,128,10096.0
downward.sif --alias lama,33,0.68529,132,10982.0
downward.sif --alias lama,34,0.729384,136,11750.0
downward.sif --alias lama,35,0.783391,140,11410.0
downward.sif --alias lama,36,0.919444,144,10914.0
downward.sif --alias lama,37,0.976601,148,12492.0
downward.sif --alias lama,38,1.01172,152,13024.0
downward.sif --alias lama,39,1.12725,156,13156.0
downward.sif --alias lama,40,1.16301,160,13170.0
downward.sif --alias lama,41,1.31953,164,14394.0
downward.sif --alias lama,42,1.40934,168,13686.0
downward.sif --alias lama,43,1.40336,172,14202.0
downward.sif --alias lama,44,1.63578,176,15260.0
downward.sif --alias lama,45,1.83578,180,14888.0
downward.sif --alias lama,46,1.90377,184,15638.0
downward.sif --alias lama,47,2.06285,188,15778.0
downward.sif --alias lama,48,2.22632,192,16568.0
downward.sif --alias lama,49,2.26471,196,16138.0
downward.sif --alias lama,50,2.47171,200,16810.0
downward.sif --alias lama,51,2.74908,204,16594.0
downward.sif --alias lama,52,2.9577,208,16302.0
downward.sif --alias lama,53,3.10297,212,16542.0
downward.sif --alias lama,54,3.21949,216,17278.0
downward.sif --alias lama,55,3.35845,220,14844.0
downward.sif --alias lama,56,3.35538,224,17770.0
downward.sif --alias lama,57,3.60052,228,18528.0
downward.sif --alias lama,58,3.72661,232,18184.0
downward.sif --alias lama,59,3.9476,236,18794.0
downward.sif --alias lama,60,4.75464,240,17964.0
downward.sif --alias lama,61,5.29192,244,18436.0
downward.sif --alias lama,62,5.74649,248,18326.0
downward.sif --alias lama,63,6.08361,252,19514.0
downward.sif --alias lama,64,6.55304,256,21918.0
downward.sif --alias lama,65,6.31144,260,21884.0
downward.sif --alias lama,66,6.59603,264,18784.0
downward.sif --alias lama,67,6.96072,268,19692.0
downward.sif --alias lama,68,7.3123,272,19762.0
downward.sif --alias lama,69,8.15064,276,21988.0
downward.sif --alias lama,70,8.36926,280,23446.0
downward.sif --alias lama,71,9.09203,284,21240.0
downward.sif --alias lama,72,9.52389,288,22928.0
downward.sif --alias lama,73,10.0753,292,23652.0
downward.sif --alias lama,74,10.9204,296,23974.0
downward.sif --alias lama,75,10.8777,300,21136.0
downward.sif --alias lama,76,11.9893,304,22666.0
downward.sif --alias lama,77,12.4658,308,22988.0
downward.sif --alias lama,78,12.4453,312,23014.0
downward.sif --alias lama,79,13.0657,316,22132.0
