,Planner,ProblemDim,Actions,Time,Cost
0,optic-clp,2,8,0.02,292.0
1,optic-clp,3,13,0.06,1142.001
2,optic-clp,4,18,0.12,1788.002
3,optic-clp,5,22,0.13,2148.002
4,optic-clp,6,27,0.25,2069.003
5,optic-clp,7,30,0.22,2202.002
6,optic-clp,8,37,0.35,2632.005
7,optic-clp,9,41,0.33,3540.005
8,optic-clp,10,43,0.36,3899.003
9,optic-clp,11,51,0.41000000000000003,3703.007
10,optic-clp,12,54,0.44,4640.006
11,optic-clp,13,58,0.62,3828.006
12,optic-clp,14,61,0.7,4446.005
13,optic-clp,15,74,1.1400000000000001,5991.014
14,optic-clp,16,76,1.37,6989.012
15,optic-clp,17,81,2.11,5910.013
16,optic-clp,18,81,2.56,6190.009
17,optic-clp,19,84,3.4,5965.008
18,optic-clp,20,96,2.68,8112.016
19,optic-clp,21,101,3.99,7751.017
20,optic-clp,22,106,5.75,7761.018
21,optic-clp,23,111,7.949999999999999,8099.019
22,optic-clp,24,112,9.865,8580.016
23,optic-clp,25,116,11.870000000000001,9046.016
24,optic-clp,26,124,11.41,9584.02
25,optic-clp,27,129,14.6,10526.021
26,optic-clp,28,137,19.86,9137.025
27,optic-clp,29,137,25.259999999999998,12559.021
28,optic-clp,30,143,41.14,13677.023
29,optic-clp,31,154,34.185,13144.03
30,optic-clp,32,155,51.44,11415.027
31,optic-clp,33,157,39.41,12839.025
32,optic-clp,34,163,42.16,14315.027
33,optic-clp,35,165,51.36,13813.025
34,optic-clp,36,166,61.349999999999994,12638.022
35,optic-clp,37,179,89.78,17393.031
