Planner,ProblemDim,Time,Actions,Cost
optic-clp,2,0.02,8,292.0
optic-clp,2,0.02,8,292.0
optic-clp,3,0.06,13,1142.001
optic-clp,3,0.06,13,1142.001
optic-clp,4,0.12,18,1788.002
optic-clp,4,0.12,18,1788.002
optic-clp,5,0.14,22,2148.002
optic-clp,5,0.12,22,2148.002
optic-clp,6,0.26,27,2069.003
optic-clp,6,0.24,27,2069.003
optic-clp,7,0.3,30,2202.002
optic-clp,7,0.14,30,2202.002
optic-clp,8,0.38,37,2632.005
optic-clp,8,0.32,37,2632.005
optic-clp,9,0.32,41,3540.005
optic-clp,9,0.34,41,3540.005
optic-clp,10,0.36,43,3899.003
optic-clp,10,0.36,43,3899.003
optic-clp,11,0.34,51,3703.007
optic-clp,11,0.48,51,3703.007
optic-clp,12,0.42,54,4640.006
optic-clp,12,0.46,54,4640.006
optic-clp,13,0.62,58,3828.006
optic-clp,13,0.62,58,3828.006
optic-clp,14,0.68,61,4446.005
optic-clp,14,0.72,61,4446.005
optic-clp,15,1.16,74,5991.014
optic-clp,15,1.12,74,5991.014
optic-clp,16,1.4,76,6989.012
optic-clp,16,1.34,76,6989.012
optic-clp,17,2.11,81,5910.013
optic-clp,17,2.11,81,5910.013
optic-clp,18,2.4,81,6190.009
optic-clp,18,2.72,81,6190.009
optic-clp,19,3.44,84,5965.008
optic-clp,19,3.36,84,5965.008
optic-clp,20,2.7,96,8112.016
optic-clp,20,2.66,96,8112.016
optic-clp,21,3.98,101,7751.017
optic-clp,21,4.0,101,7751.017
optic-clp,22,5.8,106,7761.018
optic-clp,22,5.7,106,7761.018
optic-clp,23,8.2,111,8099.019
optic-clp,23,7.7,111,8099.019
optic-clp,24,9.93,112,8580.016
optic-clp,24,9.8,112,8580.016
optic-clp,25,11.98,116,9046.016
optic-clp,25,11.76,116,9046.016
optic-clp,26,11.38,124,9584.02
optic-clp,26,11.44,124,9584.02
optic-clp,27,14.62,129,10526.021
optic-clp,27,14.58,129,10526.021
optic-clp,28,19.94,137,9137.025
optic-clp,28,19.78,137,9137.025
optic-clp,29,25.28,137,12559.021
optic-clp,29,25.24,137,12559.021
optic-clp,30,41.24,143,13677.023
optic-clp,30,41.04,143,13677.023
optic-clp,31,33.91,154,13144.03
optic-clp,31,34.46,154,13144.03
optic-clp,32,51.06,155,11415.027
optic-clp,32,51.82,155,11415.027
optic-clp,33,39.48,157,12839.025
optic-clp,33,39.34,157,12839.025
optic-clp,34,41.96,163,14315.027
optic-clp,34,42.36,163,14315.027
optic-clp,35,51.28,165,13813.025
optic-clp,35,51.44,165,13813.025
optic-clp,36,60.94,166,12638.022
optic-clp,36,61.76,166,12638.022
optic-clp,37,89.78,179,17393.031
